Prompt,Chosen_Content,Chosen_Likes,Chosen_Time,Chosen_CustomMetric,Reject_Content,Reject_Likes,Reject_Time,Reject_CustomMetric
应约100w人气露脸！,以后不用真容直播就取关了,40627,1629787283,39737.43608156574,啊，这坚毅的脸庞，这犹如龙舌兰般清冽的声音，还有这孔武有力的臂膀，这真是何等完美的女人啊！[害羞][打call][妙啊],773,1630308920,-111.34754843425992
应约100w人气露脸！,超美丽3dhso,17923,1629787183,17033.43508156574,乔碧萝生错了时代,93,1672239617,-372.04057843425994
应约100w人气露脸！,"塔菲太好看看了！好看的我夺jojo！（字面意思）
[神乐七奈_好耶][神乐七奈_好耶][神乐七奈_好耶]",10879,1629787004,9989.43329156574,震惊，著名vtuber皮下竟然是jojo！,330,1629786930,-559.56744843426
应约100w人气露脸！,你这不是露脸，这是变脸吧[神乐七奈_震惊][神乐七奈_震惊],9846,1629793594,8956.49919156574,我一辈子作恶多端，罪行罄竹难书，谢谢主播让我今天看见这个视频，我终于可以去安心投,292,1629806462,-597.3721284342599
应约100w人气露脸！,吓死人了,7511,1629786923,6621.43248156574,这是我冲的最舒服的一次[微笑][帕里_DD][神乐七奈_好耶][白神遥_吃桃子][呜米_KiraKira][进击的冰糖_车门焊死][hanser_流啤],262,1630151349,-623.92325843426
应约100w人气露脸！,蚌埠住了，崩撤卖溜，再见了taffy，还有，我的懦弱）,3397,1629786970,2507.43295156574,日语比中文说的好,42,1652020312,-625.2336284342599
应约100w人气露脸！,0：25是大美女taffy,3110,1629786967,2220.43292156574,蚌埠住了，取关了[进击的冰糖_不愧是你],188,1629788179,-701.55495843426
应约100w人气露脸！,梗:BV1jP4y147e7,1243,1629812122,353.68447156574007,有个日本女主播的名场面[白神遥_阿巴阿巴]不过人家只是嘴和想象中的反差大[白神遥_kusa]塔菲这是这个脸都不一样了[白神遥_跳脸],110,1629787068,-779.5660684342599
应约100w人气露脸！,原来那天凌晨要我们当演员炒作的是这个视频啊，等了好久了[洛天依_吃瓜],1139,1629787060,249.43385156574004,"所以你的替身是！是！是！
菲红之王！！！",63,1629787631,-826.5604384342599
应约100w人气露脸！,竟然不是美少女 破防了 以后不发录播了(bushi,997,1629789385,107.45710156574,存了，等真的100w粉的时候拉出来公开处刑[藏狐],22,1629793289,-867.50385843426
Prompt,Chosen,Chosen_Likes,Chosen_Time,Chosen_CustomMetric,Reject,Reject_Likes,Reject_Time,Reject_CustomMetric
应约100w人气露脸！,以后不用真容直播就取关了,40627,1629787283,39737.39543013624,啊，这坚毅的脸庞，这犹如龙舌兰般清冽的声音，还有这孔武有力的臂膀，这真是何等完美的女人啊！[害羞][打call][妙啊],773,1630308920,-111.38819986376052
应约100w人气露脸！,超美丽3dhso,17923,1629787183,17033.39443013624,乔碧萝生错了时代,93,1672239617,-372.0812298637605
应约100w人气露脸！,"塔菲太好看看了！好看的我夺jojo！（字面意思）
[神乐七奈_好耶][神乐七奈_好耶][神乐七奈_好耶]",10879,1629787004,9989.392640136239,震惊，著名vtuber皮下竟然是jojo！,330,1629786930,-559.6080998637606
应约100w人气露脸！,你这不是露脸，这是变脸吧[神乐七奈_震惊][神乐七奈_震惊],9846,1629793594,8956.45854013624,我一辈子作恶多端，罪行罄竹难书，谢谢主播让我今天看见这个视频，我终于可以去安心投,292,1629806462,-597.4127798637605
应约100w人气露脸！,吓死人了,7511,1629786923,6621.391830136239,这是我冲的最舒服的一次[微笑][帕里_DD][神乐七奈_好耶][白神遥_吃桃子][呜米_KiraKira][进击的冰糖_车门焊死][hanser_流啤],262,1630151349,-623.9639098637606
应约100w人气露脸！,蚌埠住了，崩撤卖溜，再见了taffy，还有，我的懦弱）,3397,1629786970,2507.3923001362396,日语比中文说的好,42,1652020312,-625.2742798637605
应约100w人气露脸！,0：25是大美女taffy,3110,1629786967,2220.3922701362394,蚌埠住了，取关了[进击的冰糖_不愧是你],188,1629788179,-701.5956098637605
应约100w人气露脸！,梗:BV1jP4y147e7,1243,1629812122,353.64382013623947,有个日本女主播的名场面[白神遥_阿巴阿巴]不过人家只是嘴和想象中的反差大[白神遥_kusa]塔菲这是这个脸都不一样了[白神遥_跳脸],110,1629787068,-779.6067198637605
应约100w人气露脸！,原来那天凌晨要我们当演员炒作的是这个视频啊，等了好久了[洛天依_吃瓜],1139,1629787060,249.39320013623944,"所以你的替身是！是！是！
菲红之王！！！",63,1629787631,-826.6010898637605
应约100w人气露脸！,竟然不是美少女 破防了 以后不发录播了(bushi,997,1629789385,107.4164501362394,存了，等真的100w粉的时候拉出来公开处刑[藏狐],22,1629793289,-867.5445098637606
Prompt,Chosen,Chosen_Likes,Chosen_Time,Chosen_CustomMetric,Reject,Reject_Likes,Reject_Time,Reject_CustomMetric
应约100w人气露脸！,以后不用真容直播就取关了,40627,1629787283,39737.39516128831,啊，这坚毅的脸庞，这犹如龙舌兰般清冽的声音，还有这孔武有力的臂膀，这真是何等完美的女人啊！[害羞][打call][妙啊],773,1630308920,-111.38846871169096
应约100w人气露脸！,超美丽3dhso,17923,1629787183,17033.39416128831,乔碧萝生错了时代,93,1672239617,-372.0814987116909
应约100w人气露脸！,"塔菲太好看看了！好看的我夺jojo！（字面意思）
[神乐七奈_好耶][神乐七奈_好耶][神乐七奈_好耶]",10879,1629787004,9989.39237128831,震惊，著名vtuber皮下竟然是jojo！,330,1629786930,-559.608368711691
应约100w人气露脸！,你这不是露脸，这是变脸吧[神乐七奈_震惊][神乐七奈_震惊],9846,1629793594,8956.45827128831,我一辈子作恶多端，罪行罄竹难书，谢谢主播让我今天看见这个视频，我终于可以去安心投,292,1629806462,-597.413048711691
应约100w人气露脸！,吓死人了,7511,1629786923,6621.391561288309,这是我冲的最舒服的一次[微笑][帕里_DD][神乐七奈_好耶][白神遥_吃桃子][呜米_KiraKira][进击的冰糖_车门焊死][hanser_流啤],262,1630151349,-623.9641787116909
应约100w人气露脸！,蚌埠住了，崩撤卖溜，再见了taffy，还有，我的懦弱）,3397,1629786970,2507.392031288309,日语比中文说的好,42,1652020312,-625.274548711691
应约100w人气露脸！,0：25是大美女taffy,3110,1629786967,2220.392001288309,蚌埠住了，取关了[进击的冰糖_不愧是你],188,1629788179,-701.595878711691
应约100w人气露脸！,梗:BV1jP4y147e7,1243,1629812122,353.643551288309,有个日本女主播的名场面[白神遥_阿巴阿巴]不过人家只是嘴和想象中的反差大[白神遥_kusa]塔菲这是这个脸都不一样了[白神遥_跳脸],110,1629787068,-779.606988711691
应约100w人气露脸！,原来那天凌晨要我们当演员炒作的是这个视频啊，等了好久了[洛天依_吃瓜],1139,1629787060,249.392931288309,"所以你的替身是！是！是！
菲红之王！！！",63,1629787631,-826.601358711691
应约100w人气露脸！,竟然不是美少女 破防了 以后不发录播了(bushi,997,1629789385,107.41618128830908,存了，等真的100w粉的时候拉出来公开处刑[藏狐],22,1629793289,-867.5447787116909
Prompt,Chosen,Chosen_Likes,Chosen_Time,Chosen_CustomMetric,Reject,Reject_Likes,Reject_Time,Reject_CustomMetric
应约100w人气露脸！,以后不用真容直播就取关了,40627,1629787283,39737.394560966146,啊，这坚毅的脸庞，这犹如龙舌兰般清冽的声音，还有这孔武有力的臂膀，这真是何等完美的女人啊！[害羞][打call][妙啊],773,1630308920,-111.38906903385168
应约100w人气露脸！,超美丽3dhso,17923,1629787183,17033.39356096615,乔碧萝生错了时代,93,1672239617,-372.08209903385165
应约100w人气露脸！,"塔菲太好看看了！好看的我夺jojo！（字面意思）
[神乐七奈_好耶][神乐七奈_好耶][神乐七奈_好耶]",10879,1629787004,9989.39177096615,震惊，著名vtuber皮下竟然是jojo！,330,1629786930,-559.6089690338517
应约100w人气露脸！,你这不是露脸，这是变脸吧[神乐七奈_震惊][神乐七奈_震惊],9846,1629793594,8956.457670966149,我一辈子作恶多端，罪行罄竹难书，谢谢主播让我今天看见这个视频，我终于可以去安心投,292,1629806462,-597.4136490338517
应约100w人气露脸！,吓死人了,7511,1629786923,6621.390960966149,这是我冲的最舒服的一次[微笑][帕里_DD][神乐七奈_好耶][白神遥_吃桃子][呜米_KiraKira][进击的冰糖_车门焊死][hanser_流啤],262,1630151349,-623.9647790338516
应约100w人气露脸！,蚌埠住了，崩撤卖溜，再见了taffy，还有，我的懦弱）,3397,1629786970,2507.391430966148,日语比中文说的好,42,1652020312,-625.2751490338517
应约100w人气露脸！,0：25是大美女taffy,3110,1629786967,2220.3914009661485,蚌埠住了，取关了[进击的冰糖_不愧是你],188,1629788179,-701.5964790338517
应约100w人气露脸！,梗:BV1jP4y147e7,1243,1629812122,353.6429509661483,有个日本女主播的名场面[白神遥_阿巴阿巴]不过人家只是嘴和想象中的反差大[白神遥_kusa]塔菲这是这个脸都不一样了[白神遥_跳脸],110,1629787068,-779.6075890338517
应约100w人气露脸！,原来那天凌晨要我们当演员炒作的是这个视频啊，等了好久了[洛天依_吃瓜],1139,1629787060,249.39233096614828,"所以你的替身是！是！是！
菲红之王！！！",63,1629787631,-826.6019590338517
应约100w人气露脸！,竟然不是美少女 破防了 以后不发录播了(bushi,997,1629789385,107.41558096614835,存了，等真的100w粉的时候拉出来公开处刑[藏狐],22,1629793289,-867.5453790338516
